,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,pop,customer_state,geolocation_lat,geolocation_lng,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_photos_qty,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,delivery_time
0,d1ec48f722227f712bd7c376e194dcc2,5fff3ec8fc85df5fe57190fd9b6543ed,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,166029aa4dc1bed21f0d50ebdb4ef286,delivered,2018-04-02 09:09:45,2018-04-02 09:28:31,2018-04-16 14:02:55,2018-04-20 14:26:33,2018-05-10,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2018-04-16 09:28:31,116.99,57.08,moveis_escritorio,1.0,4981537a9c59c338f977f78d5d5d286c,5.0,,,2018-04-21,2018-04-22 17:40:39,18
1,d1ec48f722227f712bd7c376e194dcc2,5fff3ec8fc85df5fe57190fd9b6543ed,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,166029aa4dc1bed21f0d50ebdb4ef286,delivered,2018-04-02 09:09:45,2018-04-02 09:28:31,2018-04-16 14:02:55,2018-04-20 14:26:33,2018-05-10,2,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2018-04-16 09:28:31,116.99,57.08,moveis_escritorio,1.0,4981537a9c59c338f977f78d5d5d286c,5.0,,,2018-04-21,2018-04-22 17:40:39,18
2,d1ec48f722227f712bd7c376e194dcc2,5fff3ec8fc85df5fe57190fd9b6543ed,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,166029aa4dc1bed21f0d50ebdb4ef286,delivered,2018-04-02 09:09:45,2018-04-02 09:28:31,2018-04-16 14:02:55,2018-04-20 14:26:33,2018-05-10,3,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2018-04-16 09:28:31,116.99,57.08,moveis_escritorio,1.0,4981537a9c59c338f977f78d5d5d286c,5.0,,,2018-04-21,2018-04-22 17:40:39,18
3,d1ec48f722227f712bd7c376e194dcc2,5fff3ec8fc85df5fe57190fd9b6543ed,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,166029aa4dc1bed21f0d50ebdb4ef286,delivered,2018-04-02 09:09:45,2018-04-02 09:28:31,2018-04-16 14:02:55,2018-04-20 14:26:33,2018-05-10,4,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2018-04-16 09:28:31,116.99,57.08,moveis_escritorio,1.0,4981537a9c59c338f977f78d5d5d286c,5.0,,,2018-04-21,2018-04-22 17:40:39,18
4,d1ec48f722227f712bd7c376e194dcc2,5fff3ec8fc85df5fe57190fd9b6543ed,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,166029aa4dc1bed21f0d50ebdb4ef286,delivered,2018-04-02 09:09:45,2018-04-02 09:28:31,2018-04-16 14:02:55,2018-04-20 14:26:33,2018-05-10,5,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2018-04-16 09:28:31,116.99,57.08,moveis_escritorio,1.0,4981537a9c59c338f977f78d5d5d286c,5.0,,,2018-04-21,2018-04-22 17:40:39,18
5,ca4dfba4840aa9ac286c79e6f2b95d43,7b0c9f0a6a8fa1274c38050fc3f57c8d,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,60721992ef4cec39824837f08c79afec,delivered,2017-09-21 09:19:41,2017-09-21 09:30:16,2017-09-22 16:03:43,2017-10-02 20:58:02,2017-10-23,1,d1c427060a0f73f6b889a5c7c61f2ac4,a1043bafd471dff536d0c462352beb48,2017-09-27 09:30:16,149.99,45.98,informatica_acessorios,1.0,c59af9cb9f61b48fcfb1f1b0ae6df143,5.0,,,2017-10-03,2017-10-04 10:40:35,11
6,11be3313da4285772a39dc6fa8a18cb9,99137c8a71db73be44549e5a5274981a,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,db26bf0c66e8320dd106b9b39ca56fec,delivered,2018-04-17 15:54:45,2018-04-17 16:30:39,2018-04-19 19:43:40,2018-05-02 17:36:45,2018-05-17,1,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2018-04-23 16:30:39,53.9,0.0,ferramentas_jardim,2.0,93d2bb035b71dd99d67e6aa0b22fee90,4.0,,"produto como no anuncio, bom vendedor
",2018-05-03,2018-05-06 17:51:09,15
7,ca4dfba4840aa9ac286c79e6f2b95d43,7b0c9f0a6a8fa1274c38050fc3f57c8d,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,60721992ef4cec39824837f08c79afec,delivered,2017-09-21 09:19:41,2017-09-21 09:30:16,2017-09-22 16:03:43,2017-10-02 20:58:02,2017-10-23,2,c4baedd846ed09b85f78a781b522f126,a1043bafd471dff536d0c462352beb48,2017-09-27 09:30:16,99.0,37.36,ferramentas_jardim,1.0,c59af9cb9f61b48fcfb1f1b0ae6df143,5.0,,,2017-10-03,2017-10-04 10:40:35,11
8,49514292b7c96900328c314056e19641,7f873e2c98b19dfcae0db3c0ba919905,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,df8bb1c5e34a83edbd547f2fa290801c,delivered,2018-02-26 10:49:26,2018-02-26 11:10:05,2018-02-27 18:36:10,2018-03-06 14:14:05,2018-03-21,1,05a9dadb8402b6b7ae3dd28f7da187b5,522620dcb18a6b31cd7bdf73665113a9,2018-03-07 11:10:05,149.0,18.66,informatica_acessorios,2.0,15301c7ffc6e246c60a1ef7bc8ae1d0d,4.0,,Os cartuchos estavam vazios,2018-03-07,2018-03-07 18:30:31,8
9,13cf269afee757997898d939075f59ce,fe18248c7953f426c0781d33a9730998,86975,mandaguari,31890,PR,-23.50634532242993,-51.696090205659,031494323fa558eee8dd1bd06fc34713,delivered,2017-11-26 15:44:00,2017-11-26 15:55:02,2017-11-28 20:41:31,2017-12-22 20:49:04,2017-12-21,1,7ce94ab189134e2d3c05f496d635419c,8b321bb669392f5163d04c59e235e066,2017-11-30 15:55:02,13.65,15.1,eletronicos,1.0,b65c34813218d0089e98b8de0a50b598,3.0,,,2017-12-22,2017-12-26 01:02:12,26
